	parent	trade_efficiency	profit	avg_float_parent	sales	trade_cost	weights	outcome_sum	outcome_prices	outcome_names
621	P90 | Scorched (Battle-Scarred)	0.478	14.355	0.445	1	30.0	0.0127	44.355	17.803,73.125,17.55,15.795,97.5	Glock-18 | Groundwater (Well-Worn),SSG 08 | Tropical Storm (Well-Worn),Negev | CaliCamo (Field-Tested),SG 553 | Gator Mesh (Field-Tested),MP7 | Orange Peel (Well-Worn)
470	StatTrak™ Glock-18 | Royal Legion (Well-Worn)	0.473	39.885999999999996	0.59	1	84.3	0.0353	124.186	227.175,64.672,80.71	StatTrak™ Desert Eagle | Kumicho Dragon (Well-Worn),StatTrak™ AWP | Elite Build (Battle-Scarred),StatTrak™ Nova | Hyper Beast (Field-Tested)
27	StatTrak™ USP-S | Monster Mashup (Field-Tested)	0.47100000000000003	193.412	0.185	1	410.6	0.1713	604.012	1101.263,106.763	StatTrak™ M4A1-S | Printstream (Minimal Wear),StatTrak™ Glock-18 | Neo-Noir (Field-Tested)
5	StatTrak™ XM1014 | XOXO (Minimal Wear)	0.46299999999999997	175.06900000000002	0.085	1	378.0	0.155	553.069	670.312,435.825	StatTrak™ M4A4 | In Living Color (Factory New),StatTrak™ USP-S | The Traitor (Minimal Wear)
255	StatTrak™ Sawed-Off | Devourer (Minimal Wear)	0.45799999999999996	259.556	0.085	1	567.0	0.2298	826.556	1311.862,341.25	StatTrak™ AK-47 | Neon Rider (Factory New),StatTrak™ Desert Eagle | Code Red (Minimal Wear)
80	StatTrak™ MAC-10 | Allure (Field-Tested)	0.451	16.855999999999998	0.195	1	37.4	0.0149	54.256	57.466,58.5,46.8	StatTrak™ XM1014 | Entombed (Minimal Wear),StatTrak™ Glock-18 | Vogue (Minimal Wear),StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)
154	StatTrak™ P250 | Inferno (Field-Tested)	0.446	18.316	0.175	1	41.1	0.0162	59.416000000000004	29.133,96.466,52.65	StatTrak™ MP9 | Hydra (Field-Tested),StatTrak™ AUG | Death by Puppy (Factory New),StatTrak™ P90 | Nostalgia (Minimal Wear)
370	StatTrak™ M249 | Emerald Poison Dart (Minimal Wear)	0.44299999999999995	43.215	0.08	1	97.5	0.0383	140.715	221.812,111.628,88.706	StatTrak™ M4A1-S | Decimator (Factory New),StatTrak™ AWP | Fever Dream (Factory New),StatTrak™ CZ75-Auto | Xiangliu (Factory New)
492	StatTrak™ G3SG1 | The Executioner (Field-Tested)	0.442	66.07	0.185	1	149.6	0.0585	215.67	305.175,126.165	StatTrak™ M4A4 | Royal Paladin (Minimal Wear),StatTrak™ R8 Revolver | Fade (Minimal Wear)
284	StatTrak™ Nova | Toy Soldier (Field-Tested)	0.433	21.566999999999997	0.185	1	49.8	0.0191	71.367	101.4,55.282,57.418	StatTrak™ M4A1-S | Nightmare (Field-Tested),StatTrak™ Sawed-Off | Devourer (Minimal Wear),StatTrak™ FAMAS | Eye of Athena (Minimal Wear)
131	StatTrak™ MP9 | Hydra (Minimal Wear)	0.431	220.42	0.085	1	512.0	0.1952	732.42	1184.625,280.215	StatTrak™ AWP | Wildfire (Factory New),StatTrak™ FAMAS | Commemoration (Factory New)
