	#	trade_efficiency	parent	trade_cost	avg_float_parent	avg_profit_price
14	15	-0.2077562326869806	MP9 | Food Chain (Well-Worn)	36.1	0.48	57.2
15	16	-0.2299168975069252	MP9 | Food Chain (Well-Worn)	36.1	0.5650000000000001	55.6
25	26	-0.2305825242718446	Galil AR | Chromatic Aberration (Well-Worn)	30.9	0.9950000000000004	47.55
65	66	-0.2323809523809522	P250 | Cyber Shell (Well-Worn)	3.5	0.8450000000000003	8.06
16	17	-0.3414127423822715	MP9 | Food Chain (Well-Worn)	36.1	0.9950000000000004	47.55
11	12	-0.3813582497721057	MP9 | Food Chain (Minimal Wear)	109.7	0.145	135.73
13	14	-0.407762938230384	MP9 | Food Chain (Field-Tested)	59.900000000000006	0.3750000000000001	70.95
45	46	-0.4686585365853657	Glock-18 | Clear Polymer (Factory New)	16.4	0.0699999999999999	43.57000000000001
43	44	-0.7847560975609756	Desert Eagle | Trigger Discipline (Battle-Scarred)	16.4	0.42	10.59
39	40	-0.7958473625140292	Desert Eagle | Trigger Discipline (Field-Tested)	29.700000000000003	0.165	18.19
44	45	-0.8054878048780487	Desert Eagle | Trigger Discipline (Battle-Scarred)	16.4	0.445	9.57
37	38	-0.8135164243403339	Desert Eagle | Trigger Discipline (Minimal Wear)	61.900000000000006	0.075	34.629999999999995
40	41	-0.8416386083052749	Desert Eagle | Trigger Discipline (Field-Tested)	29.700000000000003	0.3750000000000001	14.11
38	39	-0.8520193861066236	Desert Eagle | Trigger Discipline (Minimal Wear)	61.900000000000006	0.145	27.48
41	42	-0.8647249190938512	Desert Eagle | Trigger Discipline (Well-Worn)	20.6	0.495	8.36
42	43	-0.8695792880258899	Desert Eagle | Trigger Discipline (Well-Worn)	20.6	0.9650000000000004	8.06
36	37	-0.8710646285867525	Desert Eagle | Trigger Discipline (Factory New)	124.3	0.0699999999999999	48.08
1	2	-0.8988314344142565	AK-47 | Slate (Minimal Wear)	114.1	0.075	34.629999999999995
2	3	-0.9197195442594216	AK-47 | Slate (Minimal Wear)	114.1	0.145	27.48
3	4	-0.9208442123585728	AK-47 | Slate (Field-Tested)	76.6	0.165	18.19
4	5	-0.9385987815491732	AK-47 | Slate (Field-Tested)	76.6	0.3750000000000001	14.11
0	1	-0.9398172487169858	AK-47 | Slate (Factory New)	266.3	0.0699999999999999	48.08
7	8	-0.950904033379694	AK-47 | Slate (Battle-Scarred)	71.9	0.42	10.59
8	9	-0.9556328233657858	AK-47 | Slate (Battle-Scarred)	71.9	0.445	9.57
5	6	-0.9610800744878956	AK-47 | Slate (Well-Worn)	71.6	0.495	8.36
6	7	-0.9624767225325884	AK-47 | Slate (Well-Worn)	71.6	0.9950000000000004	8.06
